country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","15-02-2026 11:00:00",28.647622,77.3158090,NO2,70,145,113
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","15-02-2026 11:00:00",28.647622,77.3158090,CO,64,116,105
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","15-02-2026 11:00:00",28.695381,77.181665,PM10,113,250,172
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","15-02-2026 11:00:00",28.695381,77.181665,SO2,10,24,14
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","15-02-2026 11:00:00",28.695381,77.181665,OZONE,2,115,11
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","15-02-2026 11:00:00",28.4706914,77.1099364,NO2,20,110,59
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-02-2026 11:00:00",28.776200,77.051074,NO2,8,60,28
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","15-02-2026 11:00:00",22.348441,82.549611,CO,16,40,24
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","15-02-2026 11:00:00",22.126650,83.483212,PM10,71,261,142
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","15-02-2026 11:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","15-02-2026 11:00:00",22.1910172,83.5197009,PM2.5,34,82,50
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","15-02-2026 11:00:00",22.1910172,83.5197009,SO2,13,43,14
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","15-02-2026 11:00:00",21.258815,81.578979,PM10,36,133,81
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","15-02-2026 11:00:00",21.219665,81.630094,PM10,37,115,82
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","15-02-2026 11:00:00",21.219665,81.630094,SO2,3,15,8
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","15-02-2026 11:00:00",21.237755,81.705301,OZONE,6,17,6
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","15-02-2026 11:00:00",21.371751,81.664929,PM10,23,156,91
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","15-02-2026 11:00:00",28.5627763,77.1180053,PM2.5,51,310,132
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","15-02-2026 11:00:00",28.5627763,77.1180053,NO2,54,124,88
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","15-02-2026 11:00:00",28.542460,77.191651,PM2.5,64,305,150
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","15-02-2026 11:00:00",28.542460,77.191651,NO2,22,108,52
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","15-02-2026 11:00:00",28.542460,77.191651,OZONE,2,59,15
India,Delhi,Delhi,"ITO, Delhi - CPCB","15-02-2026 11:00:00",28.628624,77.241060,PM2.5,76,314,199
India,Delhi,Delhi,"ITO, Delhi - CPCB","15-02-2026 11:00:00",28.628624,77.241060,CO,23,117,46
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","15-02-2026 11:00:00",28.732820,77.170633,PM10,124,283,196
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","15-02-2026 11:00:00",28.732820,77.170633,NO2,43,133,104
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","15-02-2026 11:00:00",28.580280,77.233829,PM10,123,491,247
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","15-02-2026 11:00:00",28.580280,77.233829,NH3,13,17,15
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","15-02-2026 11:00:00",28.580280,77.233829,SO2,2,24,11
India,Delhi,Delhi,"Pusa, Delhi - DPCC","15-02-2026 11:00:00",28.639652,77.146275,PM10,120,312,183
India,Delhi,Delhi,"Pusa, Delhi - DPCC","15-02-2026 11:00:00",28.639652,77.146275,OZONE,5,128,9
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","15-02-2026 11:00:00",28.563262,77.186937,PM2.5,107,404,234
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","15-02-2026 11:00:00",28.563262,77.186937,CO,20,138,55
India,Delhi,Delhi,"Rohini, Delhi - DPCC","15-02-2026 11:00:00",28.732528,77.119920,PM10,109,500,236
India,Delhi,Delhi,"Rohini, Delhi - DPCC","15-02-2026 11:00:00",28.732528,77.119920,NO2,16,83,49
India,Delhi,Delhi,"Rohini, Delhi - DPCC","15-02-2026 11:00:00",28.732528,77.119920,NH3,9,14,12
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","15-02-2026 11:00:00",28.6514781,77.1473105,PM2.5,180,351,287
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","15-02-2026 11:00:00",28.6514781,77.1473105,PM10,117,229,166
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","15-02-2026 11:00:00",28.6514781,77.1473105,CO,22,106,50
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-02-2026 11:00:00",28.570173,76.933762,NO2,70,101,84
